,title,author,likes
1626,Forest of Humans,Junho Hwang,"353,248"
1627,BRAIN Anthology,Various Artists,"819,065"
1628,Rot & Ruin,Taylor Grant Alempe,1.5M
1629,Witch Creek Road,Garth the Geek Kenan Halilovic,1.8M
1630,Beetle Hands,Herhumanist,"417,219"
1631,ANT,Jaehee,"142,574"
1632,HIVE,Kyusam Kim,2.9M
1633,DEAD DAYS,DEY,"584,555"
1634,Wolfsbane,Ryan Cady Morgan Beem,"155,458"
1635,Island,Inwan Youn Kyungil Yang,"70,254"
1636,Uriah,Toffuo,2.8M
1637,Surviving Romance,Lee Yone,3.6M
1638,#Killstagram,Ryoung,3.6M
1639,"Sarah, I'm Sorry: Welcome to Our Galaxy",MiTi GUGU,"152,608"
1640,Drawing on Heritage,WEBTOON Creators,"52,554"
1641,Rewriting Extinction,Various Artists,"283,552"
1642,Illuminated,Rachel Song Maria Nguyen,"136,448"
1643,Staying Healthy Together,Various Artists,1.6M
1644,Cooking Comically,Tyler Capps,"293,476"
1645,ㄴㅇㄹㅇㄴㄹ,LOZOLZ,"267,181"
1646,WEBTOON Now,Wyatt the Cat LOZOLZ,2.2M
